anomalyID,srcIP,srcPort,dstIP,dstPort,taxonomy,heuristic,label
0,185.216.64.3,5151,None,5080,ntscUDPOther,999,anomalous
1,None,443,203.65.123.88,None,mptp,504,anomalous
2,None,4001,203.65.112.49,4001,mptp,999,anomalous
3,None,4001,203.65.112.49,22797,mptp,999,anomalous
4,203.65.117.247,None,128.31.126.186,None,ipv4gretun,999,anomalous
5,203.65.117.247,None,204.172.17.158,None,ipv4gretun,999,anomalous
6,203.65.117.247,None,206.237.243.2,None,ipv4gretun,999,anomalous
7,203.65.117.247,None,50.237.10.161,None,ipv4gretun,999,anomalous
8,20.93.133.2,51142,None,5061,ntscSYN,10,anomalous
9,134.238.129.152,51155,None,16022,ntscSYN,10,anomalous
10,None,None,None,6379,dntscSYN,10,anomalous
11,47.63.61.68,None,None,6379,ptmp,999,anomalous
12,1.11.46.207,None,None,6379,mptmp,999,anomalous
13,123.168.97.22,None,None,6379,mptmp,999,anomalous
14,None,6379,47.63.61.68,None,mptp,11,anomalous
15,20.191.151.194,None,None,3389,mptmp,999,anomalous
16,93.81.158.106,None,None,None,mptmp,999,anomalous
17,None,3389,20.191.151.194,None,mptmp,11,anomalous
18,None,6379,None,None,mptmp,11,anomalous
19,None,443,163.21.166.64,None,mptp,504,anomalous
20,None,443,163.21.72.136,None,mptp,504,anomalous
21,69.69.50.42,53,203.65.113.66,None,ptpposcaUDP,999,anomalous
22,None,443,163.21.161.21,None,mptp,504,anomalous
23,121.179.116.246,None,None,6379,ntscSYN,10,anomalous
24,None,53,203.65.124.87,None,mptp,504,anomalous
25,None,443,203.65.124.87,None,mptp,504,anomalous
26,None,None,203.65.103.15,None,mptp,20,anomalous
27,None,443,203.65.123.208,None,mptp,504,anomalous
28,118.60.55.46,None,None,6379,ptmp,10,anomalous
29,None,None,163.21.141.123,443,mptmp,504,anomalous
30,133.240.174.45,None,None,443,mptmp,504,anomalous
31,133.240.39.106,24785,None,None,ptmp,999,anomalous
32,8.242.136.32,53,202.152.173.205,None,mptp,504,anomalous
33,None,443,202.152.173.205,None,mptp,504,anomalous
34,None,443,163.21.166.23,None,mptp,504,anomalous
35,192.195.229.166,None,None,1311,mptmp,999,anomalous
36,45.121.111.144,5720,None,5060,mptmp,999,anomalous
37,144.83.183.213,62910,None,30007,mptmp,999,anomalous
38,31.244.173.205,443,163.21.177.103,None,alphfl,504,anomalous
39,133.240.78.82,1194,108.172.133.133,None,mptpla,999,anomalous
40,157.161.2.228,1194,108.172.133.133,None,mptpla,999,anomalous
41,203.65.122.196,None,None,None,ptmpla,504,anomalous
42,None,443,163.21.161.60,None,mptmp,504,anomalous
43,None,443,163.21.212.171,None,mptmp,504,anomalous
44,157.161.144.77,80,None,None,ptmp,504,anomalous
45,157.161.144.77,443,None,None,ptmp,504,anomalous
46,157.161.144.77,None,None,None,ptmp,504,anomalous
47,203.65.117.44,80,114.58.183.206,None,mptmp,503,anomalous
49,203.65.124.79,80,None,None,mptmp,503,anomalous
49,203.65.113.41,80,None,None,ptmpHTTP,503,anomalous
50,None,None,157.89.184.11,None,ntscICecrqICecrprp,20,anomalous
51,163.21.72.136,None,None,443,ptmp,504,anomalous
52,130.69.30.233,80,222.174.186.255,None,heavy_hitter,503,anomalous
53,None,None,18.158.38.252,None,ntscICecrqICecrprp,20,anomalous
54,None,None,54.239.183.175,None,ntscICecrqICecrprp,20,anomalous
55,124.121.97.181,None,None,None,ntscICec,20,anomalous
56,163.76.120.97,None,None,None,ntscICec,20,anomalous
57,None,None,3.20.63.105,None,ntscICecrqICecrprp,20,anomalous
58,None,None,3.30.218.60,None,ntscICecrqICecrprp,20,anomalous
59,None,None,69.8.91.205,None,ntscICecrqICecrprp,20,anomalous
60,None,443,163.21.67.55,None,mptp,504,anomalous
61,None,None,40.242.1.122,443,mptmp,504,anomalous
62,None,None,69.6.207.138,None,mptmp,504,anomalous
63,71.6.113.28,29011,None,None,ptmp,10,anomalous
64,106.142.128.89,None,None,6379,ntscSYN,10,anomalous
65,218.158.180.173,None,None,6379,ntscSYN,10,anomalous
66,1.2.129.222,53,203.65.122.224,None,mptp,504,anomalous
67,None,443,203.65.122.224,None,mptp,504,anomalous
68,39.83.58.16,50133,None,2375,ntscSYN,10,anomalous
69,39.83.58.16,51196,None,2376,ntscSYN,10,anomalous
70,157.161.91.213,45433,123.249.152.115,51977,alphfl,999,anomalous
71,202.36.217.153,443,None,None,mptmp,504,anomalous
